,Title,URL,Comment Count,Unique Commenters,Upvotes,Engagement Score,Years Opened,Frustration Score
73,Invalidate cache when using import,https://github.com/nodejs/node/issues/49442,100,30,69,86983.9318638788,5.49760438056126,104.49880219028063
161,Support for Import Maps,https://github.com/nodejs/node/issues/49443,100,16,65,77988.10445466892,4.802190280629706,104.15109514031485
63,import.meta.main,https://github.com/nodejs/node/issues/49440,99,30,88,107495.29705234927,5.352498288843258,103.42624914442163
1052,enable corepack by default,https://github.com/nodejs/node/issues/50963,100,23,211,171526.88219849768,0.999315537303217,102.2496577686516
972,Discussion: New “ESM by default” mode,https://github.com/nodejs/node/issues/49432,98,14,22,18705.820687030176,0.07939767282683094,99.78969883641342
708,How could we support typescript without vendoring it?,https://github.com/nodejs/node/issues/43818,95,29,140,110976.94565979125,1.4373716632443532,97.46868583162218
2,zlib deflate results in a memory leak,https://github.com/nodejs/node/issues/8871,73,22,16,15319.10415586541,7.170431211498974,78.33521560574948
77,Discussion: private fields and util.inspect,https://github.com/nodejs/node/issues/27404,74,13,4,4227.736478877129,4.172484599589322,77.83624229979466
215,"add API for ""package dir""",https://github.com/nodejs/node/issues/49445,72,12,9,7640.387129016448,4.501026694045175,76.00051334702259
565,Thrown AbortErrors are not DOMExceptions,https://github.com/nodejs/node/issues/40692,65,9,4,3123.989604456693,2.973305954825462,68.23665297741273
177,Performance of for await of (async iteration),https://github.com/nodejs/node/issues/31979,64,10,7,5015.454681582634,3.972621492128679,67.73631074606433
138,Migration of core modules to primordials,https://github.com/nodejs/node/issues/30697,64,16,4,2774.762686131636,2.0506502395619437,66.77532511978097
40,N-API: An api for embedding Node in applications,https://github.com/nodejs/node/issues/23265,56,17,1,1586.5014581848855,5.927446954141,60.7137234770705
429,HTTP/3 support,https://github.com/nodejs/node/issues/38478,57,30,261,109677.10923802052,2.7214236824093088,60.110711841204655
6,Node.js' internal scripts should be hidden in the inspector.,https://github.com/nodejs/node/issues/11893,54,20,3,2736.4346297963884,7.353867214236824,59.426933607118414
884,`message` tests can be migrated from python to JS,https://github.com/nodejs/node/issues/47707,57,9,0,667.6350816996128,0.5284052019164955,59.01420260095825
70,Proposal for single-mode packages with optional fallbacks for older versions of node,https://github.com/nodejs/node/issues/49450,55,10,7,4151.704668178225,4.435318275154004,58.967659137577
1312,Support .noderc or similar file-based initialization configurations?,https://github.com/nodejs/node/issues/53787,57,15,6,2705.313833708204,0.16700889801505817,58.83350444900753
696,Entrypoint Hooks (carry over discussion from Austin Collab Summit),https://github.com/nodejs/node/issues/43408,57,13,2,1360.7853008165894,0.13689253935660506,58.818446269678304
957,`.env` file support issue tracker,https://github.com/nodejs/node/issues/49148,56,25,0,672.5482297668493,0.9637234770704997,58.23186173853525
261,Tracking Issue: commit queue issues and feedback,https://github.com/nodejs/node/issues/34770,53,12,0,678.6404092960572,1.8069815195071868,55.653490759753595
703,Support Web Workers,https://github.com/nodejs/node/issues/43583,49,21,327,106542.14977617562,2.4668035592060233,51.983401779603014
818,AsyncLocalStorage and deferred promises,https://github.com/nodejs/node/issues/46262,48,11,0,548.221322396722,0.02190280629705681,49.76095140314853
500,build: provide pre-built nodejs/node images or cache ,https://github.com/nodejs/node/issues/39672,45,8,9,2638.196835873856,0.8596851471594799,47.17984257357974
802,Expose a faster way to create objects with properties for Node-API,https://github.com/nodejs/node/issues/45905,44,8,5,1701.10543163113,1.3141683778234086,46.4070841889117
977,Discussion: Name of the flag for the “ESM by default” mode,https://github.com/nodejs/node/issues/49541,42,9,1,659.3412892530147,0.06570841889117043,43.78285420944559
433,Future of the Node HTTP Client ,https://github.com/nodejs/node/issues/38533,41,13,1,610.1891370613632,0.30390143737166325,42.90195071868583
637,Async hooks cause programs with frozen promises to crash,https://github.com/nodejs/node/issues/42229,41,10,1,649.1739900389285,0.02190280629705681,42.76095140314853
747,Requiring a dynamically added dependency fails when the package has no `index.js` file,https://github.com/nodejs/node/issues/44663,39,12,6,1538.644041066282,0.7912388774811773,41.14561943874059
685,Expose Undici's ProxyAgent and setGlobalDispatcher within Node,https://github.com/nodejs/node/issues/43187,38,20,49,11182.822056857216,2.3846680355920604,40.94233401779603
457,"Core dump with ""double free detected in tcache 2"" or assertion failure when using http2 client via @grpc/grpc-js",https://github.com/nodejs/node/issues/38964,38,11,3,1012.9411159650351,1.6563997262149213,40.57819986310746
11,domain migration to async_hooks,https://github.com/nodejs/node/issues/17143,37,10,0,422.91904994179225,2.4202600958247777,39.960130047912386
183,buffer: ~2x slowdown in master compared to v12.x,https://github.com/nodejs/node/issues/32226,37,11,8,2100.0685123696203,2.3545516769336072,39.927275838466805
624,The ESM resolver does not respect package `main`s for packages imported via relative imports,https://github.com/nodejs/node/issues/41940,38,9,0,362.53042187540467,0.33675564681724846,39.918377823408626
39,"Almost guaranteed ECONNRESET on piped sockets if connecting to Node's HTTPS server which answers with ""connection: 'close'"" after setImmediate or setTimeout, on OSX",https://github.com/nodejs/node/issues/23169,35,25,20,5719.993886592161,5.853524982888432,39.676762491444215
608,Add a utility to convert file URL or path to one of them?,https://github.com/nodejs/node/issues/41521,36,11,3,1069.3054492885033,2.937713894592745,39.21885694729637
4,What will Domain be replaced with?,https://github.com/nodejs/node/issues/10843,34,15,30,8459.601655075798,6.787132101300479,39.143566050650236
595,stack size exceeded on M1/arm64 but not on x86,https://github.com/nodejs/node/issues/41163,36,8,0,363.73799453885397,1.4154688569472964,38.45773442847365
158,Dynamic import does not show location of SyntaxError,https://github.com/nodejs/node/issues/49441,34,14,13,3400.059666384163,4.572210814510609,38.036105407255306
18,child_process stdout being truncated,https://github.com/nodejs/node/issues/19218,32,13,18,4601.397783023419,6.034223134839151,36.767111567419576
72,Documented way to add certificates to existing SecureContext,https://github.com/nodejs/node/issues/27079,32,7,7,1968.431800829551,5.30321697467488,36.40160848733744
65,setTimeout Calling Callback Too Early,https://github.com/nodejs/node/issues/26578,32,10,5,1453.4667023857244,4.61327857631759,36.05663928815879
785,Native zip support,https://github.com/nodejs/node/issues/45434,33,12,41,7421.985081719125,2.1245722108145104,35.81228610540725
967,URL does not match the web; does not allow changing protocol from `about:`,https://github.com/nodejs/node/issues/49319,34,10,0,328.40833420757383,0.013689253935660506,35.75684462696783
387,Roadmap for stabilization of vm modules,https://github.com/nodejs/node/issues/37648,32,16,102,19770.685518501403,3.564681724845996,35.532340862423
140,addons/openssl-binding/test very flaky on ARM,https://github.com/nodejs/node/issues/30786,33,7,0,312.96428480426374,1.2347707049965777,35.36738535249829
610,Start moving to Uint8Array in new APIs?,https://github.com/nodejs/node/issues/41588,32,15,65,10614.245698732937,1.7631759069130732,34.63158795345654
74,readable.push always returning false after reaching highWaterMark for the first time,https://github.com/nodejs/node/issues/27106,32,8,0,311.3002971268039,1.6043805612594113,34.5521902806297
1252,AsyncLocalStorage loses the store if used together with createHook if there is a async function in between,https://github.com/nodejs/node/issues/53037,32,6,0,295.0696934762747,0.04380561259411362,33.77190280629706
